Player,Team,Affiliation,Year,Round Number,Round Pick,Overall Pick
Barry Stevens ,Denver Nuggets,Iowa State,1985,2,19,43
Voise Winters ,Philadelphia 76ers,Bradley,1985,2,20,44
Hot Rod Williams ,Cleveland Cavaliers,Tulane,1985,2,21,45
Adrian Branch ,Chicago Bulls,Maryland,1985,2,22,46
Gerald Wilkins ,New York Knicks,Tennessee-Chattanooga,1985,2,23,47
Kenny Patterson,Indiana Pacers,DePaul,1985,3,1,48
Brad Wright ,Golden State Warriors,California-Los Angeles,1985,3,2,49
Leonard Allen,Dallas Mavericks,San Diego State,1985,3,3,50
Charles Bradley,Sacramento Kings,South Florida,1985,3,4,51
Anicet Lavodrama,Los Angeles Clippers,Houston Baptist,1985,3,5,52
Rolando Lamb,Seattle SuperSonics,Virginia Commonwealth,1985,3,6,53
Sam Mitchell ,Houston Rockets,Mercer,1985,3,7,54
Herb Johnson,Cleveland Cavaliers,Tulsa,1985,3,8,55
Jerry Everett,Phoenix Suns,Lamar,1985,3,9,56
Michael Payne,Houston Rockets,Iowa,1985,3,10,57
Vernon Moore,Washington Bullets,Creighton,1985,3,11,58
Sedric Toney ,Atlanta Hawks,Dayton,1985,3,12,59
Andre Goode,Detroit Pistons,Northwestern,1985,3,13,60
Perry Young ,Portland Trail Blazers,Virginia Tech,1985,3,14,61
Nigel Miguel,New Jersey Nets,California-Los Angeles,1985,3,15,62
Harold Keeling ,Dallas Mavericks,Santa Clara,1985,3,16,63
Richie Johnson,Detroit Pistons,Evansville,1985,3,17,64
Ken Perry,Washington Bullets,Southern Illinois,1985,3,18,65
Michael Adams ,Sacramento Kings,Boston College,1985,3,19,66
Steve Black,Philadelphia 76ers,La Salle,1985,3,20,67
Eugene McDowell,Milwaukee Bucks,Florida,1985,3,21,68
Mike Brown ,Chicago Bulls,George Washington,1985,3,22,69
Andre Battle,Boston Celtics,Loyola-Chicago,1985,3,23,70
Luster Goodwin,Golden State Warriors,Texas-El Paso,1985,4,1,71
Vince Hamilton,Indiana Pacers,Clemson,1985,4,2,72
Fred Cofield ,New York Knicks,Eastern Michigan,1985,4,3,73
Jim Deines,Los Angeles Clippers,Arizona State,1985,4,4,74
Alex Stivrins ,Seattle SuperSonics,Colorado,1985,4,5,75
Willie Simmons,Sacramento Kings,Louisiana Tech,1985,4,6,76
Arvydas Sabonis ,Atlanta Hawks,BC Zalgiris (Lithuania),1985,4,7,77
Granger Hall,Phoenix Suns,Temple,1985,4,8,78
Mark Davis ,Cleveland Cavaliers,Old Dominion,1985,4,9,79
Craig Beard,Chicago Bulls,Samford,1985,4,10,80
Richie Adams,Washington Bullets,Nevada-Las Vegas,1985,4,11,81
Scott Roth ,San Antonio Spurs,Wisconsin,1985,4,12,82
Delaney Rudd ,Utah Jazz,Wake Forest,1985,4,13,83
John Battle ,Atlanta Hawks,Rutgers,1985,4,14,84
Joe Atkinson,Portland Trail Blazers,Oklahoma State,1985,4,15,85
Bubba Jennings,Dallas Mavericks,Texas Tech,1985,4,16,86
Spud Webb ,Detroit Pistons,North Carolina State,1985,4,17,87
Mike Brooks,Houston Rockets,Tennessee,1985,4,18,88
Pete Williams ,Denver Nuggets,Arizona,1985,4,19,89
Derrick Gervin ,Philadelphia 76ers,Texas-San Antonio,1985,4,20,90
Cozell McQueen ,Milwaukee Bucks,North Carolina State,1985,4,21,91
Dexter Shouse ,Los Angeles Lakers,South Alabama,1985,4,22,92
Cliff Weber,Boston Celtics,Liberty,1985,4,23,93
Kelvin Johnson,Indiana Pacers,Richmond,1985,5,1,94
Greg Cavener,Golden State Warriors,Missouri,1985,5,2,95
Mike Schlegel,New York Knicks,Virginia Commonwealth,1985,5,3,96
Lou Stefanovic,Seattle SuperSonics,Illinois State,1985,5,4,97
Bob Lojewski,Sacramento Kings,Saint Joseph's,1985,5,5,98
Wayne Carlander,Los Angeles Clippers,Southern California,1985,5,6,99
Larry Hampton,Atlanta Hawks,Hampton,1985,5,7,100
Gunther Behnke,Cleveland Cavaliers,Bayer Giants Leverkusen (Germany),1985,5,8,101
Shawn Campbell,Phoenix Suns,Weber State,1985,5,9,102
Reid Gettys,Chicago Bulls,Houston,1985,5,10,103
Dean Shaffer,Washington Bullets,Florida State,1985,5,11,104
Ray Hall,Utah Jazz,Canisius,1985,5,12,105
Clayton Olivier,San Antonio Spurs,Southern California,1985,5,13,106
James Anderson,Portland Trail Blazers,Union (KY),1985,5,14,107
Kelly Blaine,New Jersey Nets,South Alabama,1985,5,15,108
Tommy Davis,Dallas Mavericks,Minnesota,1985,5,16,109
Mike Lahm,Detroit Pistons,Murray State,1985,5,17,110
Ivan Daniels,Indiana Pacers,Illinois-Chicago,1985,5,18,111
Kenny Brown,Denver Nuggets,Texas A&M,1985,5,19,112
Carl Wright,Philadelphia 76ers,Southern Methodist,1985,5,20,113
Ray Knight,Milwaukee Bucks,Providence,1985,5,21,114
Timo Saarelainen,Los Angeles Lakers,Brigham Young,1985,5,22,115
Albert Butts,Boston Celtics,La Salle,1985,5,23,116
Gerald Crosby,Golden State Warriors,Georgia,1985,6,1,117
Stu Primus,Indiana Pacers,Boston College,1985,6,2,118
Kent Lockhart,New York Knicks,Texas-El Paso,1985,6,3,119
Charles Valentine,Sacramento Kings,Arkansas,1985,6,4,120
Malcolm Thomas,Los Angeles Clippers,Missouri,1985,6,5,121
Earl Walker,Seattle SuperSonics,Mercer,1985,6,6,122
Tony Duckett,Atlanta Hawks,Lafayette,1985,6,7,123
Charles Rayne,Phoenix Suns,Temple,1985,6,8,124
Ricky Johnson,Cleveland Cavaliers,Illinois State,1985,6,9,125
Dan Meagher,Chicago Bulls,Duke,1985,6,10,126
Matt England,Washington Bullets,Houston Baptist,1985,6,11,127
Chris Harper,San Antonio Spurs,Oregon,1985,6,12,128
Jim Miller,Utah Jazz,Virginia,1985,6,13,129
George Almones,New Jersey Nets,Louisiana-Lafayette,1985,6,14,130
Curtis Moore,Portland Trail Blazers,Nebraska,1985,6,15,131
Carlton Cooper,Dallas Mavericks,Texas,1985,6,16,132
Vincent Giles,Detroit Pistons,Eastern Michigan,1985,6,17,133
Sam Potter,Houston Rockets,Oral Roberts,1985,6,18,134
Joe Carrabino,Denver Nuggets,Harvard,1985,6,19,135
Daryl Lloyd,Philadelphia 76ers,Drake,1985,6,20,136
Quentin Anderson,Milwaukee Bucks,Texas Tech,1985,6,21,137
Tony Neal,Los Angeles Lakers,Cal State-Fullerton,1985,6,22,138
Ralph Lewis ,Boston Celtics,La Salle,1985,6,23,139
Jeff Acres,Indiana Pacers,Oral Roberts,1985,7,1,140
Eric Boyd,Golden State Warriors,North Carolina A&T,1985,7,2,141
Ken Bantum,New York Knicks,Cornell,1985,7,3,142
Gary Maloncon,Los Angeles Clippers,California-Los Angeles,1985,7,4,143
Mike Phelps ,Seattle SuperSonics,Alcorn State,1985,7,5,144
Alton Lee Gipson,Sacramento Kings,Florida State,1985,7,6,145
Bob Ferry,Atlanta Hawks,Harvard,1985,7,7,146
Buzz Peterson,Cleveland Cavaliers,North Carolina,1985,7,8,147
Georgi Glouchkov ,Phoenix Suns,BC Cherno More Port Varna (Bulgaria),1985,7,9,148
Jeff Adkins,Chicago Bulls,Maryland,1985,7,10,149
Keith Gray,Washington Bullets,Detroit Mercy,1985,7,11,150
Mike Wacker,Utah Jazz,Texas-San Antonio,1985,7,12,151
Al Young,San Antonio Spurs,Virginia Tech,1985,7,13,152
Mark Owen,Portland Trail Blazers,College of Idaho,1985,7,14,153
Gary McLain,New Jersey Nets,Villanova,1985,7,15,154
Ed Catchings,Dallas Mavericks,Nevada-Las Vegas,1985,7,16,155
Frank James,Detroit Pistons,Nevada-Las Vegas,1985,7,17,156
Don Turney,Indiana Pacers,Marshall,1985,7,18,157
Eddie Smith,Denver Nuggets,Arizona,1985,7,19,158
Jaye Andrews,Philadelphia 76ers,Bucknell,1985,7,20,159
Mario Elie ,Milwaukee Bucks,American International,1985,7,21,160
Keith Cleplicki,Los Angeles Lakers,William & Mary,1985,7,22,161
Chris Remly,Boston Celtics,Rutgers,1985,7,23,162
Hakeem Olajuwon ,Houston Rockets,Houston,1984,1,1,1
Sam Bowie ,Portland Trail Blazers,Kentucky,1984,1,2,2
Michael Jordan ,Chicago Bulls,North Carolina,1984,1,3,3
Sam Perkins ,Dallas Mavericks,North Carolina,1984,1,4,4
Charles Barkley ,Philadelphia 76ers,Auburn,1984,1,5,5
Mel Turpin ,Washington Bullets,Kentucky,1984,1,6,6
Alvin Robertson ,San Antonio Spurs,Arkansas,1984,1,7,7
Lancaster Gordon ,Los Angeles Clippers,Louisville,1984,1,8,8
Otis Thorpe ,Kansas City Kings,Providence,1984,1,9,9
Leon Wood ,Philadelphia 76ers,Cal State-Fullerton,1984,1,10,10
Kevin Willis ,Atlanta Hawks,Michigan State,1984,1,11,11
Tim McCormick ,Cleveland Cavaliers,Michigan,1984,1,12,12
Jay Humphries ,Phoenix Suns,Colorado,1984,1,13,13
Michael Cage ,Los Angeles Clippers,San Diego State,1984,1,14,14
Terence Stansbury ,Dallas Mavericks,Temple,1984,1,15,15
John Stockton ,Utah Jazz,Gonzaga,1984,1,16,16
Jeff Turner ,New Jersey Nets,Vanderbilt,1984,1,17,17
Vern Fleming ,Indiana Pacers,Georgia,1984,1,18,18
Bernard Thompson ,Portland Trail Blazers,Fresno State,1984,1,19,19
Tony Campbell ,Detroit Pistons,Ohio State,1984,1,20,20
Kenny Fields ,Milwaukee Bucks,California-Los Angeles,1984,1,21,21
Tom Sewell ,Philadelphia 76ers,Lamar,1984,1,22,22
Earl Jones ,Los Angeles Lakers,District of Columbia,1984,1,23,23
Michael Young ,Boston Celtics,Houston,1984,1,24,24
Devin Durrant ,Indiana Pacers,Brigham Young,1984,2,1,25
Victor Fleming,Portland Trail Blazers,Xavier,1984,2,2,26
Ron Anderson ,Cleveland Cavaliers,Fresno State,1984,2,3,27
Cory Blackwell ,Seattle SuperSonics,Wisconsin,1984,2,4,28
Stuart Gray ,Indiana Pacers,California-Los Angeles,1984,2,5,29
Steve Burtt ,Golden State Warriors,Iona,1984,2,6,30
Jay Murphy ,Golden State Warriors,Boston College,1984,2,7,31
Eric Turner,Detroit Pistons,Michigan,1984,2,8,32
Steve Colter ,Portland Trail Blazers,New Mexico State,1984,2,9,33
Tony Costner,Washington Bullets,Saint Joseph's,1984,2,10,34
Othell Wilson ,Golden State Warriors,Virginia,1984,2,11,35
Charles Jones ,Phoenix Suns,Louisville,1984,2,12,36
Ben Coleman ,Chicago Bulls,Maryland,1984,2,13,37
Charlie Sitton ,Dallas Mavericks,Oregon State,1984,2,14,38
Danny Young ,Seattle SuperSonics,Wake Forest,1984,2,15,39
Anthony Teachey,Dallas Mavericks,Wake Forest,1984,2,16,40
Tom Sluby ,Dallas Mavericks,Notre Dame,1984,2,17,41
Willie White ,Denver Nuggets,Tennessee-Chattanooga,1984,2,18,42
Greg Wiltjer,Chicago Bulls,Victoria (CAN),1984,2,19,43
Fred Reynolds,Washington Bullets,Texas-El Paso,1984,2,20,44
Gary Plummer ,Golden State Warriors,Boston University,1984,2,21,45
Jerome Kersey ,Portland Trail Blazers,Longwood,1984,2,22,46
Ronnie Williams,Boston Celtics,Florida,1984,2,23,47
James Banks,Philadelphia 76ers,Georgia,1984,3,1,48
Tim Dillon,Chicago Bulls,Northern Illinois,1984,3,2,49
Ben McDonald ,Cleveland Cavaliers,California-Irvine,1984,3,3,50
Jim Petersen ,Houston Rockets,Minnesota,1984,3,4,51
Terry Williams,Seattle SuperSonics,Alabama,1984,3,5,52
Ricky Ross,Washington Bullets,Tulsa,1984,3,6,53
Roosevelt Chapman,Kansas City Kings,Dayton,1984,3,7,54
Lewis Jackson,Golden State Warriors,Alabama State,1984,3,8,55
Jeff Allen,Kansas City Kings,St. John's (NY),1984,3,9,56
Joe Binion ,San Antonio Spurs,North Carolina A&T,1984,3,10,57
Bobby Parks,Atlanta Hawks,Memphis,1984,3,11,58
Murray Jarman,Phoenix Suns,Clemson,1984,3,12,59
Leonard Mitchell,Cleveland Cavaliers,Louisiana State,1984,3,13,60
Jeff Cross ,Dallas Mavericks,Maine,1984,3,14,61
David Pope ,Utah Jazz,Norfolk State,1984,3,15,62
Yommy Sangodeyi,New Jersey Nets,Sam Houston State,1984,3,16,63
Curtis Green,New York Knicks,Southern Mississippi,1984,3,17,64
Tim Kearney,Portland Trail Blazers,West Virginia,1984,3,18,65
Kevin Springman,Detroit Pistons,Saint Joseph's,1984,3,19,66
Vernon Delancy,Milwaukee Bucks,Florida,1984,3,20,67
Butch Graves ,Philadelphia 76ers,Yale,1984,3,21,68
George Singleton,Los Angeles Lakers,Furman,1984,3,22,69
Rick Carlisle ,Boston Celtics,Virginia,1984,3,23,70
Ralph Jackson ,Indiana Pacers,California-Los Angeles,1984,4,1,71
Melvin Johnson,Chicago Bulls,North Carolina-Charlotte,1984,4,2,72
Art Aaron,Cleveland Cavaliers,Northwestern,1984,4,3,73
Willie Jackson,Houston Rockets,Centenary (LA),1984,4,4,74
Marc Glass,Los Angeles Clippers,Montana,1984,4,5,75
Jim Grandholm ,Washington Bullets,South Florida,1984,4,6,76
Mark Halsel,Chicago Bulls,Northeastern,1984,4,7,77
John Devereaux,San Antonio Spurs,Ohio,1984,4,8,78
Karl Tilleman,Denver Nuggets,Calgary (CAN),1984,4,9,79
Carl Henry ,Kansas City Kings,Kansas,1984,4,10,80
Dickie Beal,Atlanta Hawks,Kentucky,1984,4,11,81
Jeff Collins,Phoenix Suns,Nevada-Las Vegas,1984,4,12,82
Jeff Jenkins,Seattle SuperSonics,Xavier,1984,4,13,83
John Horrocks,Dallas Mavericks,North Texas,1984,4,14,84
Hank Cornley,New Jersey Nets,Illinois State,1984,4,15,85
Jim Rowinski ,Utah Jazz,Purdue,1984,4,16,86
Bob Thornton ,New York Knicks,California-Irvine,1984,4,17,87
Brett Applegate,Portland Trail Blazers,Brigham Young,1984,4,18,88
Phillip Smith,Detroit Pistons,New Mexico,1984,4,19,89
Ozell Jones ,San Antonio Spurs,Cal State-Fullerton,1984,4,20,90
Earl Harrison,Philadelphia 76ers,Morehead State,1984,4,21,91
John Revelli,Los Angeles Lakers,Stanford,1984,4,22,92
Kevin Mullin,Boston Celtics,Princeton,1984,4,23,93
Gene Smith,Indiana Pacers,Georgetown,1984,5,1,94
Lamont Robinson,Chicago Bulls,Lamar,1984,5,2,95
Vince Hinchen,Cleveland Cavaliers,Boise State,1984,5,3,96
Al McClain,Houston Rockets,New Hampshire,1984,5,4,97
Alonza Allen,Los Angeles Clippers,Louisiana-Lafayette,1984,5,5,98
Cohn Irish,Washington Bullets,Bowling Green,1984,5,6,99
Eric Richardson,San Antonio Spurs,Alabama,1984,5,7,100
Steve Bartek,Golden State Warriors,Doane,1984,5,8,101
Jim Foster,Kansas City Kings,South Carolina,1984,5,9,102
Prince Bridges,Denver Nuggets,Missouri,1984,5,10,103
Terry Martin,Atlanta Hawks,Louisiana-Monroe,1984,5,11,104
Bill Flye,Phoenix Suns,Richmond,1984,5,12,105
Eli Pasquale,Seattle SuperSonics,Victoria (CAN),1984,5,13,106
Dave Williams,Dallas Mavericks,Illinois-Chicago,1984,5,14,107
Marcus Gaither,Utah Jazz,Fairleigh Dickinson,1984,5,15,108
Michael Gerren,New Jersey Nets,South Alabama,1984,5,16,109
Scott McCollum,Golden State Warriors,Pepperdine,1984,5,17,110
Mike Whitmarsh,Portland Trail Blazers,San Diego,1984,5,18,111
Rick Doyle,Detroit Pistons,Texas-San Antonio,1984,5,19,112
Ernie Floyd,Milwaukee Bucks,Holy Cross,1984,5,20,113
Dan Federman,Philadelphia 76ers,Tennessee,1984,5,21,114
Lance Berwald,Los Angeles Lakers,North Dakota State,1984,5,22,115
Todd Orlando,Boston Celtics,Bentley,1984,5,23,116
Clyde Vaughn,Indiana Pacers,Pittsburgh,1984,6,1,117
Jeff Tipton,Chicago Bulls,Morehead State,1984,6,2,118
Matt Doherty,Cleveland Cavaliers,North Carolina,1984,6,3,119
Mckinley Singleton ,Milwaukee Bucks,Alabama-Birmingham,1984,6,4,120
Phillip Haynes,Los Angeles Clippers,Memphis,1984,6,5,121
Blaise Bugajeski,Washington Bullets,Illinois Wesleyan,1984,6,6,122
Tony Martin,Golden State Warriors,Wyoming,1984,6,7,123
Dion Brown,San Antonio Spurs,Louisiana-Lafayette,1984,6,8,124
Willie Burton,Denver Nuggets,Tennessee,1984,6,9,125
Bruce Vanley,Kansas City Kings,Tulsa,1984,6,10,126
Jim Master,Atlanta Hawks,Kentucky,1984,6,11,127
Herman Veal,Phoenix Suns,Maryland,1984,6,12,128
Graylin Warner,Seattle SuperSonics,Louisiana-Lafayette,1984,6,13,129
LaVerne Evans,Dallas Mavericks,Marshall,1984,6,14,130
Oscar Schmidt,New Jersey Nets,Juvecaserta Basket (Italy),1984,6,15,131
Chris Harrison,Utah Jazz,West Virginia Wesleyan,1984,6,16,132
Eddielee Wilkins ,New York Knicks,Gardner-Webb,1984,6,17,133
Lance Ball,Portland Trail Blazers,Western Oregon,1984,6,18,134
Rennie Bailey,Detroit Pistons,Louisiana Tech,1984,6,19,135
Mike Reddick,Milwaukee Bucks,Stetson,1984,6,20,136
Gary Springer,Philadelphia 76ers,Iona,1984,6,21,137
Keith Jones,Los Angeles Lakers,Stanford,1984,6,22,138
Steve Carfino,Boston Celtics,Iowa,1984,6,23,139
Kent Edelin ,Indiana Pacers,Virginia,1984,7,1,140
Butch Hays,Chicago Bulls,California,1984,7,2,141
Joe Jakubick,Cleveland Cavaliers,Akron,1984,7,3,142
Joedy Gardner,Houston Rockets,Long Beach State,1984,7,4,143
David Brantley,Los Angeles Clippers,Oregon,1984,7,5,144
Tim Garrett,Washington Bullets,New Mexico,1984,7,6,145
Michael Pitts,San Antonio Spurs,California,1984,7,7,146
Cliff Higgins,Golden State Warriors,Cal State-Northridge,1984,7,8,147
Chip Harris,Kansas City Kings,Robert Morris,1984,7,9,148
Mark Simpson,Denver Nuggets,Catawba,1984,7,10,149
Vince Martello,Atlanta Hawks,Florida State,1984,7,11,150
Raymond Crenshaw,Phoenix Suns,Oklahoma State,1984,7,12,151
Gary Gatewood,Seattle SuperSonics,Oregon,1984,7,13,152
George Turner,Dallas Mavericks,California-Irvine,1984,7,14,153
Bob Evans,Utah Jazz,Southern Utah,1984,7,15,154
Sean Kerins,New Jersey Nets,Syracuse,1984,7,16,155
Ken Bannister ,New York Knicks,Saint Augustine's,1984,7,17,156
Victor Anger,Portland Trail Blazers,Pepperdine,1984,7,18,157
Barry Francisco,Detroit Pistons,Bloomsburg,1984,7,19,158
Tony William,Milwaukee Bucks,Florida State,1984,7,20,159
Rich Congo,Philadelphia 76ers,Drexel,1984,7,21,160
Richard Haenisch,Los Angeles Lakers,Chaminade,1984,7,22,161
Mark Van Valkenburg,Boston Celtics,Framingham State,1984,7,23,162
Tom Heitz,Indiana Pacers,Kentucky,1984,8,1,163
Brett Crawford,Chicago Bulls,United States International,1984,8,2,164
Elliot Beard,Cleveland Cavaliers,Oberlin,1984,8,3,165
Greg Wolff,Houston Rockets,Angelo State,1984,8,4,166
Jim McLoughlin,Los Angeles Clippers,Temple,1984,8,5,167
Darryl Odom,Washington Bullets,West Virginia Wesleyan,1984,8,6,168
Paul Brozovich,Golden State Warriors,Nevada-Las Vegas,1984,8,7,169
Dan Tarkanian,San Antonio Spurs,Nevada-Las Vegas,1984,8,8,170
Bill Wendlandt,Denver Nuggets,Texas,1984,8,9,171
Nate Rollins,Kansas City Kings,Fort Hays State,1984,8,10,172
Robert Brown,Atlanta Hawks,Long Island-Brooklyn,1984,8,11,173
Mark Fothergill,Phoenix Suns,Maryland,1984,8,12,174
Jerry McMillan,Seattle SuperSonics,DePaul,1984,8,13,175
Leroy Sutton,Dallas Mavericks,Arkansas,1984,8,14,176
Chris Winans,New Jersey Nets,Utah,1984,8,15,177
Eric Booker,Utah Jazz,Nevada-Las Vegas,1984,8,16,178
Ricky Tunstall,New York Knicks,Youngstown State,1984,8,17,179
Steve Flint,Portland Trail Blazers,California-San Diego,1984,8,18,180
Dale Roberts,Detroit Pistons,Appalachian State,1984,8,19,181
Brad Jergenson,Milwaukee Bucks,South Carolina,1984,8,20,182
Frank Dobbs,Philadelphia 76ers,Villanova,1984,8,21,183
Champ Godboldt,Boston Celtics,Holy Cross,1984,8,22,184
Brian Martin ,Indiana Pacers,Kansas,1984,9,1,185
Calvin Pierce,Chicago Bulls,Oklahoma,1984,9,2,186
John Shimko,Cleveland Cavaliers,Xavier,1984,9,3,187
Bill Coon,Houston Rockets,Presbyterian,1984,9,4,188
Dave Schultz,Los Angeles Clippers,Westmont,1984,9,5,189
Mike Emanuel,Washington Bullets,North Carolina Pembroke,1984,9,6,190
Melvin Roseboro,San Antonio Spurs,St. Mary's (TX),1984,9,7,191
Mitch Arnold,Golden State Warriors,Fresno State,1984,9,8,192
Greg Turner,Kansas City Kings,Auburn,1984,9,9,193
Cecil Exum,Denver Nuggets,North Carolina,1984,9,10,194
Fred Brown,Atlanta Hawks,Georgetown,1984,9,11,195
Buddy Cox,Phoenix Suns,Bellarmine,1984,9,12,196
Mike Williams,Seattle SuperSonics,Idaho State,1984,9,13,197
John Tudor,Dallas Mavericks,Louisiana State,1984,9,14,198
Kelly Knight,Utah Jazz,Kansas,1984,9,15,199
Billy Ryan,New Jersey Nets,Princeton,1984,9,16,200
Marc Marotta,New York Knicks,Marquette,1984,9,17,201
Dennis Black,Portland Trail Blazers,Portland,1984,9,18,202
Ben Tower,Detroit Pistons,Michigan State,1984,9,19,203
Edwin Green,Milwaukee Bucks,Massachusetts,1984,9,20,204
Michael Mitchell,Philadelphia 76ers,Drexel,1984,9,21,205
Joe Dixon,Boston Celtics,Merrimack,1984,9,22,206
Gary Carver,Indiana Pacers,Western Kentucky,1984,10,1,207
Carl Lewis,Chicago Bulls,Houston,1984,10,2,208
Darrell Space,Cleveland Cavaliers,Northeastern Illinois,1984,10,3,209
Robert Turner,Houston Rockets,Canisius,1984,10,4,210
Dick Mumma,Los Angeles Clippers,Penn State,1984,10,5,211
Glynn Myrick,Washington Bullets,Stetson,1984,10,6,212
Tim Bell,Golden State Warriors,California-Riverside,1984,10,7,213
Frank Rodriguez,San Antonio Spurs,New Mexico State,1984,10,8,214
Dexter Bailey,Denver Nuggets,Xavier,1984,10,9,215
Victor Coleman,Kansas City Kings,Northwest Missouri State,1984,10,10,216
Doug Mills,Atlanta Hawks,Hofstra,1984,10,11,217
Ezra Hill,Phoenix Suns,Liberty,1984,10,12,218
Greg Brandon,Seattle SuperSonics,Creighton,1984,10,13,219
Napoleon Johnson,Dallas Mavericks,Grambling,1984,10,14,220
Phil Jamison,New Jersey Nets,St. Peter's,1984,10,15,221
Mike Curran,Utah Jazz,Niagara,1984,10,16,222
Mike Henderson,New York Knicks,Long Island Post,1984,10,17,223
Randy Dunn,Portland Trail Blazers,George Fox,1984,10,18,224
Dan Pelekoudas,Detroit Pistons,Michigan,1984,10,19,225
Mike Toomer,Milwaukee Bucks,Florida A&M,1984,10,20,226
Martin Clark,Philadelphia 76ers,Boston College,1984,10,21,227
Dan Trant,Boston Celtics,Clark (MA),1984,10,22,228
Ralph Sampson ,Houston Rockets,Virginia,1983,1,1,1
Steve Stipanovich ,Indiana Pacers,Missouri,1983,1,2,2
Rodney McCray ,Houston Rockets,Louisville,1983,1,3,3
Byron Scott ,San Diego Clippers,Arizona State,1983,1,4,4
Sidney Green ,Chicago Bulls,Nevada-Las Vegas,1983,1,5,5
Russell Cross ,Golden State Warriors,Purdue,1983,1,6,6
Thurl Bailey ,Utah Jazz,North Carolina State,1983,1,7,7
Antoine Carr ,Detroit Pistons,Wichita State,1983,1,8,8
Dale Ellis ,Dallas Mavericks,Tennessee,1983,1,9,9
Jeff Malone ,Washington Bullets,Mississippi State,1983,1,10,10
Derek Harper ,Dallas Mavericks,Illinois,1983,1,11,11
Darrell Walker ,New York Knicks,Arkansas,1983,1,12,12
Ennis Whatley ,Kansas City Kings,Alabama,1983,1,13,13
Clyde Drexler ,Portland Trail Blazers,Houston,1983,1,14,14
Howard Carter ,Denver Nuggets,Louisiana State,1983,1,15,15
Jon Sundvold ,Seattle SuperSonics,Missouri,1983,1,16,16
Leo Rautins ,Philadelphia 76ers,Syracuse,1983,1,17,17
Randy Breuer ,Milwaukee Bucks,Minnesota,1983,1,18,18
John Paxson ,San Antonio Spurs,Notre Dame,1983,1,19,19
Roy Hinson ,Cleveland Cavaliers,Rutgers,1983,1,20,20
Greg Kite ,Boston Celtics,Brigham Young,1983,1,21,21
Randy Wittman ,Washington Bullets,Indiana,1983,1,22,22
Mitchell Wiggins ,Indiana Pacers,Florida State,1983,1,23,23
Stewart Granger ,Cleveland Cavaliers,Villanova,1983,1,24,24
Sidney Lowe ,Chicago Bulls,North Carolina State,1983,2,1,25
Leroy Combs ,Indiana Pacers,Oklahoma State,1983,2,2,26
John Garris ,Cleveland Cavaliers,Boston College,1983,2,3,27
Rod Foster ,Phoenix Suns,California-Los Angeles,1983,2,4,28
Larry Micheaux ,Chicago Bulls,Houston,1983,2,5,29
Mark West ,Dallas Mavericks,Old Dominion,1983,2,6,30
Doc Rivers ,Atlanta Hawks,Marquette,1983,2,7,31
Michael Britt,Washington Bullets,District of Columbia,1983,2,8,32
Dirk Minniefield ,Dallas Mavericks,Kentucky,1983,2,9,33
Guy Williams ,Washington Bullets,Washington State,1983,2,10,34
Darrell Lockhart ,San Antonio Spurs,Auburn,1983,2,11,35
Scooter McCray ,Seattle SuperSonics,Louisville,1983,2,12,36
David Russell,Denver Nuggets,St. John's (NY),1983,2,13,37
Chris McNealy ,Kansas City Kings,San Jose State,1983,2,14,38
Granville Waiters ,Portland Trail Blazers,Ohio State,1983,2,15,39
Jim Thomas ,Indiana Pacers,Indiana,1983,2,16,40
Ted Kitchel,Milwaukee Bucks,Indiana,1983,2,17,41
Mike Davis,Milwaukee Bucks,Alabama,1983,2,18,42
Pace Mannion ,Golden State Warriors,Utah,1983,2,19,43
Horace Owens,New Jersey Nets,Rhode Island,1983,2,20,44
Paul Williams,Phoenix Suns,Arizona State,1983,2,21,45
Kevin Williams ,San Antonio Spurs,St. John's (NY),1983,2,22,46
Ken Lyons,Philadelphia 76ers,North Texas,1983,2,23,47
Craig Ehlo ,Houston Rockets,Washington State,1983,3,1,48
Greg Jones,Indiana Pacers,West Virginia,1983,3,2,49
Paul Thompson ,Cleveland Cavaliers,Tulane,1983,3,3,50
Derek Whittenburg,Phoenix Suns,North Carolina State,1983,3,4,51
Winfred King,Boston Celtics,East Tennessee State,1983,3,5,52
Michael Holton ,Golden State Warriors,California-Los Angeles,1983,3,6,53
Bob Hansen ,Utah Jazz,Iowa,1983,3,7,54
Erich Santifer,Detroit Pistons,Syracuse,1983,3,8,55
Larry Anderson,Cleveland Cavaliers,Nevada-Las Vegas,1983,3,9,56
Darren Daye ,Washington Bullets,California-Los Angeles,1983,3,10,57
John Pinone ,Atlanta Hawks,Villanova,1983,3,11,58
Bruce Kuczenski ,New Jersey Nets,Connecticut,1983,3,12,59
Steve Harriel,Kansas City Kings,Washington State,1983,3,13,60
David Little,Denver Nuggets,Oklahoma,1983,3,14,61
Tom Piotrowski ,Portland Trail Blazers,La Salle,1983,3,15,62
Frank Burnell,Seattle SuperSonics,Stetson,1983,3,16,63
Claude Riley,Philadelphia 76ers,Texas A&M,1983,3,17,64
Billy Goodwin,Milwaukee Bucks,St. John's (NY),1983,3,18,65
Les Craft,Cleveland Cavaliers,Kansas State,1983,3,19,66
Derrick Hord,Cleveland Cavaliers,Kentucky,1983,3,20,67
Craig Robinson,Boston Celtics,Virginia,1983,3,21,68
Orlando Phillips,Los Angeles Lakers,Pepperdine,1983,3,22,69
